title,location,url,startdate,enddate,type,price,solddate
RIOTNOX THE CRAZIEST NEW YEAR RAVE ,Silom,https://www.ticketmelon.com/riotnox/craziestnewyearrave,2023-12-31,2023-12-31,EARLY BIRD,600,Sales Ended
RIOTNOX THE CRAZIEST NEW YEAR RAVE ,Silom,https://www.ticketmelon.com/riotnox/craziestnewyearrave,2023-12-31,2023-12-31,REGULAR,800,
LOVE ACTUALLY Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,https://www.ticketmelon.com/thecommonsthonglor/sunset-film-club-dec-31,2023-12-31,2023-12-31,Ticket + Poppa's Popcorn & Drink,350,2023-12-29
The Landing NYE Special,Helipad KL,https://www.ticketmelon.com/jambujambuasia/thelandingnyespecial,2023-12-31,2023-12-31,NYE Special Presale,220,Sales Ended
The Landing NYE Special,Helipad KL,https://www.ticketmelon.com/jambujambuasia/thelandingnyespecial,2023-12-31,2023-12-31,NYE Special General Admission,250,
NEW YEAR’S EVE 2024,Wat Worachanyawas,https://www.ticketmelon.com/bangkokisland/newyearseve2024,2023-12-31,2023-12-31,Super Early Bird,"1,500",
NEW YEAR’S EVE 2024,Wat Worachanyawas,https://www.ticketmelon.com/bangkokisland/newyearseve2024,2023-12-31,2023-12-31,Early Bird,"2,000",
NEW YEAR’S EVE 2024,Wat Worachanyawas,https://www.ticketmelon.com/bangkokisland/newyearseve2024,2023-12-31,2023-12-31,Online Ticket,"2,500",
NEW YEAR’S EVE 2024,Wat Worachanyawas,https://www.ticketmelon.com/bangkokisland/newyearseve2024,2023-12-31,2023-12-31,Table Main Deck,"9,500",
NEW YEAR’S EVE 2024,Wat Worachanyawas,https://www.ticketmelon.com/bangkokisland/newyearseve2024,2023-12-31,2023-12-31,VIP Table,"12,000",
NEW YEAR’S EVE 2024,Wat Worachanyawas,https://www.ticketmelon.com/bangkokisland/newyearseve2024,2023-12-31,2023-12-31,VIP ROOM,"40,000",
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,https://www.ticketmelon.com/alexabeachclubpattaya/nye-gala-2024,2023-12-31,2023-12-31,EARLY BIRD GALA DINNER ADULT,"2,950",2023-12-29
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,https://www.ticketmelon.com/alexabeachclubpattaya/nye-gala-2024,2023-12-31,2023-12-31,EARLY BIRD GALA DINNER KID,800,
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,https://www.ticketmelon.com/alexabeachclubpattaya/nye-gala-2024,2023-12-31,2023-12-31,Early Bird SVVIP Private Zone 18 PAX,"100,000",
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,https://www.ticketmelon.com/alexabeachclubpattaya/nye-gala-2024,2023-12-31,2023-12-31,EARLY BIRD VVIP BEACH DECK 16PAX,"40,000",
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,https://www.ticketmelon.com/alexabeachclubpattaya/nye-gala-2024,2023-12-31,2023-12-31,EARLY BIRD VIP BEACH BED+SOFA 6PAX,"15,000",
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,https://www.ticketmelon.com/alexabeachclubpattaya/nye-gala-2024,2023-12-31,2023-12-31,EARLY BIRD VIP BEACH BED 5PAX,"9,500",2023-12-29
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,https://www.ticketmelon.com/alexabeachclubpattaya/nye-gala-2024,2023-12-31,2023-12-31,EARLY BIRD VIP HIGH TABLE 4PAX,"6,000",
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,https://www.ticketmelon.com/alexabeachclubpattaya/nye-gala-2024,2023-12-31,2023-12-31,VIP BEACH BED 5PAX,"12,000",
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,https://www.ticketmelon.com/alexabeachclubpattaya/nye-gala-2024,2023-12-31,2023-12-31,EARLY BIRD GENERAL ADMISSION TICKET 1PAX,"1,000",
🌟✨ DreamForest 2024: A Magical New Year's Celebration 🌲🎆,MoonRock,https://www.ticketmelon.com/moonrock/dreamforestnye,2023-12-31,2023-12-31,Early Bird Ticket,300,
🌟✨ DreamForest 2024: A Magical New Year's Celebration 🌲🎆,MoonRock,https://www.ticketmelon.com/moonrock/dreamforestnye,2023-12-31,2023-12-31,Standard Ticket,400,
