title,location,startdate,enddate,vendor
Christmas Big Sing with BMS #2,Evangelical Lutheran Church in Thailand,2023-12-09,2023-12-09,Ticketmelon
Gala at the Sala,Sala Phuket Mai Khao Beach Resort and Spa,2023-12-09,2023-12-09,Ticketmelon
LIFE IS FRUITY Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2023-12-09,2023-12-09,Ticketmelon
TTA Presents nothing 2C here 002,Live Fact,2023-12-09,2023-12-09,Ticketmelon
Blueprint Livehouse: INSPIRATIVE,Blueprint Livehouse,2023-12-09,2023-12-09,Ticketmelon
GIAM TUA na ha พบกับ Abyss X + Evita Manji [PAN],Never Normal,2023-12-09,2023-12-09,Ticketmelon
CHRISTINA Q CONCERT,อิมแพ็ค อารีน่า เมืองทองธานี,2023-12-09,2023-12-09,TTM
"Daniel Caesar Presents ""Superpowers World Tour ' Leg 3 : Australia + Asia + Hawaii""","อิมแพ็ค เอ็กซิบิชั่น ฮอลล์ 5, เมืองทองธานี",2023-12-09,2023-12-09,TTM
PERFECT MUSIC FESTIVAL 2023, ลานกิจกรรมตลาดน้ำชุน ทางขึ้นเขาค้อ อ.หล่มสัก จ.เพชรบูรณ์,2023-12-09,2023-12-09,The Concert
PanSiam Thailand Handpan Gathering 2023,"Under the big tree, near Chiangdao hotsprings",2023-12-09,2023-12-10,Ticketmelon
Manawari: A Concert for a Cause,City College of Angeles - Quadrangle,2023-12-09,2023-12-10,Ticketmelon
เฉลียง Rare Item RESTAGE คอนเสิร์ต,หอประชุมมหิดลสิทธาคาร มหาวิทยาลัยมหิดลศาลายา,2023-12-09,2023-12-10,TTM
Commune Room Ep.01,Decommune,2023-12-10,2023-12-10,Ticketmelon
EARTH-BANK FIND OUR DESTINY 1st FANMEET,Vince Hotel (Pratunam Bangkok),2023-12-10,2023-12-10,Ticketmelon
psk’s HIDEOUT,M Theater,2023-12-10,2023-12-10,Ticketmelon
HEARTH & HOME - The Charity Concert | 27th Birthday Fanmeeting,Lido Connect Siam Square ,2023-12-10,2023-12-10,Ticketmelon
JelloRio 2023 Born Legend World Tour in Asia,"The Bee, Publika ",2023-12-10,2023-12-10,Ticketmelon
 ER ENDLESS RETURN x CC CHANCES IN CHAOS Presents ENDLESS CHAOS,Abandon Radio CNX,2023-12-10,2023-12-10,Ticketmelon
LEE JUNHO 1st FANMEETING TOUR < JUNHO THE MOMENT 2023 >,รอยัล พารากอน ฮอลล์,2023-12-10,2023-12-10,TTM
BUD LIVEHOUSE SPECIAL : THE PARKINSON See alsoul,lido connect,2023-12-12,2023-12-12,Ticketmelon
ONE OK ROCK Luxury Disease Asia Tour 2023  in Bangkok,อิมแพ็ค อารีน่า เมืองทองธานี,2023-12-12,2023-12-12,TTM
Up in Smoke Festival Presented by California's finest, Mr.Fox Live House,2023-12-12,2023-12-12,The Concert
The Melody To You,Lido Siam,2023-12-14,2023-12-14,Ticketmelon
MY DEAR GANGSTER  FINAL EP," โรงภาพยนตร์ EARTHLAB CINEMA BY DR.CBD  SF WORLD CINEMA, CENTRAL WORLD",2023-12-14,2023-12-14,The Concert
Wonderfruit 2023 x Polygon,Wonderfruit,2023-12-14,2023-12-18,Ticketmelon
Wonderfruit 2023,"The Fields at Siam Country Club, Pattaya, Thailand.",2023-12-14,2023-12-18,Ticketmelon
HARU NEMURI Live in Bangkok 2023,Lido Connect,2023-12-15,2023-12-15,Ticketmelon
Blueprint Livehouse: Move Along + The Kyle + Da So Toi 🇻🇳 + 8teen 8teen 🇻🇳,Blueprint Livehouse,2023-12-15,2023-12-15,Ticketmelon
FCCT Christmas Dinner,FCCThai Clubhouse,2023-12-15,2023-12-15,Ticketmelon
Skyline Film Bangkok ดูหนังบนดาดฟ้า,River City Bangkok,2023-12-15,2023-12-17,Ticketmelon
Queendom Fest,Lalaport BBCC,2023-12-16,2023-12-16,Ticketmelon
Muggle Con Thailand 2023,บางซื่อจังชั่น (MRT กำแพงเพชร),2023-12-16,2023-12-16,Ticketmelon
Artistic Knight,"Museum of Contemporary Art (MOCA BANGKOK), ถนน กำแพงเพชร 6 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร ประเทศไทย",2023-12-16,2023-12-16,Ticketmelon
2023 Agila Music Fest,Amoranto Stadium,2023-12-16,2023-12-16,Ticketmelon
KIDS KONFERENCE Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2023-12-16,2023-12-16,Ticketmelon
Blueprint Livehouse: Solitude is Bliss,Blueprint Livehous,2023-12-16,2023-12-16,Ticketmelon
Phoenix Next presents Konomi Suzuki Special Live in Bangkok,"ลิโด้ 2, ลิโด้ คอนเนค สยามสแควร์‬",2023-12-16,2023-12-16,TTM
RS MUSIC ร่วมกับ อำพลฟูดส์ Present CONCERT SHORT CHARGE SHOCK REAL ROCK RETURN,อิมแพ็ค อารีน่า,2023-12-16,2023-12-16,TTM
RBSO 2023 : Orient et Occident,ศูนย์วัฒนธรรมแห่งประเทศไทย หอประชุมใหญ่,2023-12-16,2023-12-16,TTM
ร่วมใจแคมป์, ร่วมใจแคมป์,2023-12-16,2023-12-16,The Concert
ยอดเพชร ๑๑ กะรัต,เอ็ม เธียเตอร์ (ถ.เพชรบุรีตัดใหม่),2023-12-16,2023-12-17,TTM
Handel's Messiah 2023,"Thailand Cultural Centre, Main Hall",2023-12-17,2023-12-17,Ticketmelon
2023 WOODZ WORLD TOUR ‘OO-LI and' in Bangkok,ธันเดอร์โดม เมืองทองธานี,2023-12-17,2023-12-17,TTM
Rap Flow Round, World Siam Stadium,2023-12-17,2023-12-17,The Concert
Blueprint Livehouse: Solitude is Bliss (2nd Show),Blueprint Livehouse,2023-12-18,2023-12-18,Ticketmelon
DR.FUU ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-12-19,2023-12-19,Ticketmelon
50 CENT THE FINAL LAP TOUR 2023 GET RICH OR DIE TRYIN' - 20 YEARS LATER,อิมแพ็ค อารีน่า เมืองทองธานี,2023-12-19,2023-12-19,TTM
Stand-up Comedy “ The Boy “ By Katanyu Swangsri, โรงละครเคแบงก์สยามพิฆเนศ,2023-12-20,2023-12-20,The Concert
ลาบกรุงคอนสด RASMEE ISAN SOUL, ลาบกรุง,2023-12-20,2023-12-20,The Concert
LIDO LIVEHOUSE presented by Jameson Connects 'Zweed n' Roll & Laika',Lido Connect,2023-12-22,2023-12-22,Ticketmelon
BOYd+NOP FAMILY CHRISTMAS FUN FEST 2023,Treasure Hill Golf Club จ.ชลบุรี,2023-12-22,2023-12-23,TTM
TIME EVENT TH,Sermsuk Warehouse,2023-12-22,2023-12-24,Ticketmelon
BossNoeul Private Christmas Party,"SUN & MOON, Riverside Hotel, Phnom Penh, Cambodia",2023-12-23,2023-12-23,Ticketmelon
HOME ALONE Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2023-12-23,2023-12-23,Ticketmelon
Land of music 2023, Land of us Camp สวนผึ้ง ราชบุรี,2023-12-23,2023-12-23,The Concert
คอนเสิร์ตการกุศล ONE COOL FIN มันส์, เชียงใหม่ฮอลล์,2023-12-23,2023-12-23,The Concert
BRIGHT's HOME PARTY BRIGHT THE FIRST FAN MEETING Presented by Lazada, QUEEN SIRIKIT NATIONAL CONVENTION CENTER,2023-12-23,2023-12-24,The Concert
แสงเหนือ Music Festival 2, ช้าง โรง สี ดอยสะเก็ด  จังหวัดเชียงใหม่,2023-12-23,2023-12-24,The Concert
Siam Sinfonietta’s Holiday Concert,Banyan Tree - Grand Ballroom,2023-12-24,2023-12-24,Ticketmelon
HIKING BECKY DAY FAN CAMPING,"ยูเนี่ยน ฮอลล์, ศูนย์การค้ายูเนี่ยน มอลล์",2023-12-24,2023-12-24,TTM
คอนเสิร์ตการกุศล Happiness Together,ศูนย์วัฒนธรรมแห่งประเทศไทย หอประชุมใหญ่,2023-12-24,2023-12-24,TTM
HIKING BECKY DAY FAN CAMPING,"ยูเนี่ยน ฮอลล์, ศูนย์การค้ายูเนี่ยน มอลล์",2023-12-24,2023-12-24,TTM
TONETALK สอนคุณให้เป็นเซียน, Araya Hall DBS Denla British School,2023-12-24,2023-12-24,The Concert
CAPE SCAPE Music Festival, หาดแหลมเจริญ จังหวัดระยอง,2023-12-24,2023-12-24,The Concert
comm//unity Sonic Xmas Eve, DECOMMUNE,2023-12-24,2023-12-24,The Concert
Moon Mountain X'mas Edition 2023,แพวันวาน,2023-12-24,2023-12-26,Ticketmelon
Moon Mountain X'mas 2023,แพวันวาน,2023-12-24,2023-12-26,Ticketmelon
Greasy Cafe ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-12-28,2023-12-28,Ticketmelon
Pitt Club KL pres. Nicky Romero,Pitt Club KL,2023-12-28,2023-12-28,Ticketmelon
Harvest Moon Music Camp #3,Daidib Daidee,2023-12-29,2023-12-29,Ticketmelon
Venti Nightclub presents: Mastermind ft. Twopee Southside,"Venti Nightclub, 19 23 RCA Alley, Bang Kapi, Huai Khwang, Bangkok 10310",2023-12-29,2023-12-29,Ticketmelon
Joker Xue ''Extraterrestria'' World Tour Live in Bangkok,อิมแพ็ค อารีน่า เมืองทองธานี,2023-12-29,2023-12-29,TTM
"LIVE ZONE ""LAST DANCE IN THE DARK""", DECOMMUNE,2023-12-29,2023-12-29,The Concert
NEON COUNTDOWN 2023,Wonder World Extreme Park,2023-12-29,2023-12-31,Ticketmelon
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",2023-12-31,2023-01-02,Ticketmelon
LOVE ACTUALLY Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2023-12-31,2023-12-31,Ticketmelon
NEW YEAR’S EVE 2024,Wat Worachanyawas,2023-12-31,2023-12-31,Ticketmelon
NYE GALA 2024 ON THE BEACH at Alexa Beach Club ,Alexa Beach Club Pattaya ,2023-12-31,2023-12-31,Ticketmelon
 HOUSE OF DRAGON NEW YEAR EVE PARTY,REDSQUARE ROOFTOP BAR ,2023-12-31,2023-12-31,Ticketmelon
ม่วนจอย ลอยบน Cloud BE ON CLOUD NEW YEAR COUNTDOWN PARTY 2024,"ยูเนี่ยน ฮอลล์, ศูนย์การค้ายูเนี่ยน มอลล์",2023-12-31,2023-12-31,TTM
ม่วนจอย ลอยบน Cloud BE ON CLOUD NEW YEAR COUNTDOWN PARTY 2024,"ยูเนี่ยน ฮอลล์, ศูนย์การค้ายูเนี่ยน มอลล์",2023-12-31,2023-12-31,TTM
THE 33RD  SEOUL MUSIC AWARDS IN BANGKOK,RAJAMANGALA NATIONAL STADIUM,2024-01-02,2024-01-02,Ticketmelon
【She Her Her Hers Live in Bangkok “Diffusion of Responsibility】,-,2024-01-05,2024-01-05,Ticketmelon
Circus Music Festival 3,Circuit Makati Event Grounds,2024-01-06,2024-01-07,Ticketmelon
เขาตาง๊อก เฟสติวัล 2024, ทัมทิมสยาม05,2024-01-12,2024-01-14,The Concert
SUBCAMP 2024,Bla Bla Camp,2024-01-13,2024-01-13,Ticketmelon
ซัดมาด-SETMILD,GREEN CAMP NAKHON NAYOK,2024-01-13,2024-01-13,Ticketmelon
𝔖hape𝔖hifter :L͓̽C͓̽L͓̽: NEMATOCYST,Unformat Studio,2024-01-13,2024-01-13,Ticketmelon
YONLAPA : LINGERING GLOAMING CONCERT,Lido Connect (L2),2024-01-13,2024-01-13,Ticketmelon
Enchanted VIP , เพลินจิต,2024-01-15,2024-01-15,Ticketmelon
Tales and Tunes: Music from the Screen and Stage ,Goethe-Institut Thailand,2024-01-17,2024-01-17,Ticketmelon
Ligor Spirit Festival 2024,Greenspace Living ,2024-01-18,2024-01-21,Ticketmelon
SISB Fest,SISB,2024-01-19,2024-01-19,Ticketmelon
LA Festival 7 (Love Disadster),"Faculty of Liberal Arts, Mahidol University ",2024-01-19,2024-01-19,Ticketmelon
Jey (Jung Jinhyeong) in Bangkok ,Lido Connect Hall 2,2024-01-19,2024-01-19,Ticketmelon
Phangan ROCKFEST 2024,Phangan Rock Place,2024-01-19,2024-01-27,Ticketmelon
Lopburi Music Festival ลพบุรี มิวสิค เฟสติวัล,เขาโด่ ตำบลนิคมสร้างตนเอง อำเภอเมือง จังหวัดลพบุรี,2024-01-20,2024-01-20,Ticketmelon
INSOMNIA LIVE IN SALAYA 2024,มหิดล ศาลายา,2024-01-20,2024-01-20,Ticketmelon
ON GREEN MUSIC FESTIVAL, ESC PARK RANGSIT,2024-01-20,2024-01-20,The Concert
MARK TUAN 'The Other Side' ASIA TOUR 2024 in Bangkok,อิมแพ็ค อารีน่า เมืองทองธานี,2024-01-20,2024-01-21,TTM
MARK TUAN 'The Other Side' ASIA TOUR 2024 in Bangkok,อิมแพ็ค อารีน่า เมืองทองธานี,2024-01-20,2024-01-21,TTM
Gathering in the glen : ซักแดด,ทุ่งเลี้ยงควายลุงตา,2024-01-21,2024-01-21,Ticketmelon
KUNSTLER : The Public 26-28 JAN 24,SERMSUK WAREHOUSE,2024-01-26,2024-01-26,Ticketmelon
KLWP 3.0,KL BASE SG BESI,2024-01-26,2024-01-27,Ticketmelon
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",2024-01-26,2024-01-28,Ticketmelon
BEATFOREST 2024,Bonanza,2024-01-27,2024-01-27,Ticketmelon
KUNSTLER : The Public 26-28 JAN 24,SERMSUK WAREHOUSE,2024-01-27,2024-01-27,Ticketmelon
IVE THE 1ST WORLD TOUR < SHOW WHAT I HAVE > IN BANGKOK,อิมแพ็ค อารีน่า เมืองทองธานี,2024-01-27,2024-01-27,TTM
IVE THE 1ST WORLD TOUR < SHOW WHAT I HAVE > IN BANGKOK,อิมแพ็ค อารีน่า เมืองทองธานี,2024-01-27,2024-01-27,TTM
Unkonscious Boat Party 2024,Tappia Floating cafe - Pattaya,2024-01-30,2024-01-30,Ticketmelon
UnKonscious Festival 2024,Alexa Beach club,2024-01-30,2024-02-04,Ticketmelon
UnKonscious Festival 2024,Alexa Beach club,2024-01-30,2024-02-04,Ticketmelon
Mystic Valley 2024,Mountain Creek Golf Resort,2024-02-02,2024-02-04,Ticketmelon
ซิตสถาน 3-4 FEB,sermsuk warehouse,2024-02-03,2024-02-03,Ticketmelon
COMEEARS PRESENT TENDRE LIVE IN BANGKOK,Lido Connect ,2024-02-03,2024-02-03,Ticketmelon
กาลครั้ง 5 TATTOO COLOUR FEST,อิมแพ็ค อารีน่า เมืองทองธานี,2024-02-03,2024-02-03,TTM
กาลครั้ง 5 TATTOO COLOUR FEST,อิมแพ็ค อารีน่า เมืองทองธานี,2024-02-03,2024-02-03,TTM
ROAD FOR LIFE EP.2 : วิถีเพื่อชีวิต, ลานกิจกรรมเขาใหญ่มาราธอน ถนนธนะรัชต์ กม.21,2024-02-03,2024-02-03,The Concert
UNK Presents KNOCK OUT FESTIVAL," New Lumipini Thai Boxing Stadium, Bangkok",2024-02-03,2024-02-03,The Concert
UnKonscious Knock Out,New Lumpinee Boxing Stadium,2024-02-03,2024-02-04,Ticketmelon
Coldplay Music Of The Spheres World Tour Bangkok,สนามราชมังคลากีฬาสถาน,2024-02-03,2024-02-04,TTM
ซิตสถาน 3-4 FEB,sermsuk warehouse,2024-02-04,2024-02-04,Ticketmelon
After Party - A bid farewell to UNK24., EDEN CLUB Bangkok,2024-02-04,2024-02-04,The Concert
Bangkok Electronic Week, Skyview Hotel,2024-02-04,2024-02-11,The Concert
Klash of the titans : Kreator and In flames live in Bangkok,The street รัชดา,2024-02-07,2024-02-07,Ticketmelon
Ed Sheeran ‘+ - = ÷ x' Mathematics Tour Bangkok 2024,สนามราชมังคลากีฬาสถาน,2024-02-10,2024-02-10,TTM
Cat เชียงใหม่, เซ็นทรัล เชียงใหม่ แอร์พอร์ต,2024-02-10,2024-02-10,The Concert
