title,location,startdate,enddate,vendor
Lonelipop Music Festival Presented by Pazan Music Festival x Seen Scene Space, ลานกิจกรรมเขาใหญ่มาราธอน ถนนธนะรัชต์ กม.21,2023-10-14,2023-10-14,The Concert
MUSIC IN THE GARDEN, Chante cafe,2023-10-14,2023-10-14,The Concert
Nepo Music Fiestaval,"The Park at Nepo Center, Angeles City",2023-10-14,2023-10-15,Ticketmelon
Megafest Oktoberfest 2023,Robinsons Starmills,2023-10-14,2023-10-15,Ticketmelon
หนัดกินผัก, ChangChui,2023-10-14,2023-10-15,The Concert
คอนเสิร์ตนั่งใกล้ The KLEAR HEART Acoustic Concert, โรงละคร เคแบงก์ สยามพิฆเนศ,2023-10-14,2023-10-15,The Concert
neera mindful connections 2023,neera retreat hotel,2023-10-15,2023-10-15,Ticketmelon
DOGWHINE & ALEC ORACHI,DECOMMUNE,2023-10-15,2023-10-15,Ticketmelon
george + youra Tour in Bangkok,Voice Space,2023-10-15,2023-10-15,Ticketmelon
จ๊ะ นงผณี ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-10-16,2023-10-16,Ticketmelon
Fleshgod Apocalypse Live in Bangkok 2023,Mr fox Livehouse ,2023-10-17,2023-10-17,Ticketmelon
Sorbetes Music Festival,"Palaez Sports Center, Cagayan De Oro City",2023-10-20,2023-10-21,Ticketmelon
ARP Fan Meeting in Thailand Game Show 2023 (DACAPO), ศูนย์การประชุมแห่งชาติสิริกิติ์ ชั้น G Exhibition hall 3-4,2023-10-20,2023-10-22,The Concert
ARP Fan Meeting in Thailand Game Show 2023 (SCHNEIDER), ศูนย์การประชุมแห่งชาติสิริกิติ์ ชั้น G Exhibition hall 3-4,2023-10-20,2023-10-22,The Concert
ARP Fan Meeting in Thailand Game Show 2023 (BAABEL), ศูนย์การประชุมแห่งชาติสิริกิติ์ ชั้น G Exhibition hall 3-4,2023-10-20,2023-10-22,The Concert
ARP Fan Meeting in Thailand Game Show 2023 Vtuber ARP, ศูนย์การประชุมแห่งชาติสิริกิติ์ ชั้น G Exhibition hall 3-4,2023-10-20,2023-10-22,The Concert
Howlers Manila 2.0,Circuit Makati,2023-10-21,2023-10-21,Ticketmelon
BAE VIBES 2023,Lido Connect Hall 2,2023-10-21,2023-10-21,Ticketmelon
420cruise10 ,Wat worachanyawas,2023-10-21,2023-10-21,Ticketmelon
Blueprint Livehouse: Motifs 🇸🇬 + Death of Heather + Telever,Blueprint Livehouse,2023-10-21,2023-10-21,Ticketmelon
Rex Orange County Live in Asia 2023 Bangkok,Moonstar Studio,2023-10-21,2023-10-21,Ticketmelon
บ้านและสวน Concert Series x Boyd KosiyabongTHE OTHER SIDE OF THE DOORTHEE CHAIYADEJ SINGS THE BOYd KOSIYABONG SONGBOOK,โรงละครเคแบงก์สยามพิฆเนศ ชั้น7 สยามสแควร์วัน,2023-10-21,2023-10-21,TTM
THE KRIST ELEMENTS CONCERT,ยูเนี่ยน ฮอลล์ ชั้น F6 ศูนย์การค้ายูเนี่ยน มอลล์,2023-10-21,2023-10-21,TTM
Hong Kong Philharmonic Orchestra : Shostakovich Piano Concerto,หอประชุมมหิดลสิทธาคาร มหาวิทยาลัยมหิดลศาลายา,2023-10-21,2023-10-21,TTM
อำพลฟูดส์ และ รถจักรยานยนต์ HONDA Present Kamikaze party reunion 2023,อิมแพ็ค อารีน่า เมืองทองธานี,2023-10-21,2023-10-21,TTM
DEPT SHOUT OUT TO THE WORLD CONCERT, SHOW DC HALL @SHOW DC RAMA 9,2023-10-21,2023-10-21,The Concert
Transmission & Hardmission Bangkok 2023,"BITEC, Bangna",2023-10-21,2023-10-22,Ticketmelon
OCTOPOP 2023,ธันเดอร์โดมสเตเดียม และ ธันเดอร์โดม,2023-10-21,2023-10-22,TTM
Transmission & Hardmission Bangkok 2023, ไบเทค บางนา,2023-10-21,2023-10-22,The Concert
ANGEL DUST Live in Bangkok 22/10/2023,MR.FOX LIVEHOUSE,2023-10-22,2023-10-22,Ticketmelon
Blueprint Livehouse: Door Plant + Chucky Factory Land + But Hate Panic,Blueprint Livehouse,2023-10-22,2023-10-22,Ticketmelon
Music @ Mahidol Brass & Percussion Concert by Hong Kong Philharmonic Orchestra x Thailand Philharmonic Orchestra,หอแสดงดนตรี วิทยาลัยดุริยางคศิลป์ ม.มหิดล(ศาลายา),2023-10-22,2023-10-22,TTM
Solitude is Bliss / Makara at DECOMMUNE, DECOMMUNE,2023-10-22,2023-10-22,The Concert
Three Man Down ณ บ้านเพื่อนบางแสน,บ้านเพื่ิอนบางแสน,2023-10-24,2023-10-24,Ticketmelon
Prune Deer Asia Tour 2023 LIVE IN Bangkok,Mr.fox live house,2023-10-26,2023-10-26,Ticketmelon
freehand × โจรลอยนวล LIVE AT Come Again Cafe & Restaurant, Come Again Cafe & Restaurant,2023-10-26,2023-10-26,The Concert
SOULebrasyon Undas Festival,Amoranto Sports Complex,2023-10-27,2023-10-27,Ticketmelon
【Prune Deer Asia Tour 2023 LIVE IN ChiangMai】 ,Thapae East,2023-10-27,2023-10-27,Ticketmelon
JOONG-DUNK Hidden (LOVE) Agenda,"AEON HALL, AEON MALL SEN SOK",2023-10-28,2023-10-28,Ticketmelon
SOMROM Music Festival,Freeform Land อ.ด่านช้าง จ.สุพรรณ,2023-10-28,2023-10-28,Ticketmelon
DICKHEAD OPEN AIR,Blueprint Livehouse,2023-10-28,2023-10-28,Ticketmelon
