title,location,startdate,enddate,vendor
ZEAL ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-11-30,2023-11-30,Ticketmelon
Reality Club Asia Tour 2023 Live in Kuala Lumpur,"JioSpace, Petaling Jaya",2023-12-01,2023-12-01,Ticketmelon
SIBUL Arts and Music Festival (Concert for a Cause),New Clark City Athletic Stadium,2023-12-02,2023-12-02,Ticketmelon
SongHits Festival Volume 1,"Melvin Jones Grandstand, Baguio City",2023-12-02,2023-12-02,Ticketmelon
Singto Exclusive Vacation & Fanmeeting with Samoonjaopa,หอประชุมใหญ่ มหาวิทยาลัยเกษตรศาสตร์,2023-12-02,2023-12-02,Ticketmelon
volare nella musica della danza,"Main Auditorium, Silpakorn University (Wang Tha Pra)",2023-12-02,2023-12-02,Ticketmelon
SoundAbout Mountain Fest,Midwinter เขาใหญ่,2023-12-02,2023-12-02,TTM
Young K Solo Concert < Letters with notes > in Bangkok,"แจ้งวัฒนะ ฮอลล์, เซ็นทรัลแจ้งวัฒนะ ชั้น 5.5",2023-12-02,2023-12-02,TTM
GOLF-MIKE : BOUNCE TO THE FUTURE CONCERT, IMPACT ARENA,2023-12-02,2023-12-02,The Concert
Longlay Beach Life Festival 2023,หาดบางเก่า  ,2023-12-02,2023-12-03,Ticketmelon
DISNEY PRINCESS - THE CONCERT IN BANGKOK,เมืองไทยรัชดาลัย เธียเตอร์,2023-12-02,2023-12-03,TTM
Longlay Beach Life Festival #4, Diamond Beach (Longlay Beach),2023-12-02,2023-12-03,The Concert
Maho Rasop 2023, ESC PARK BANGKOK,2023-12-02,2023-12-03,The Concert
รถตู้รับส่งงาน Maho Rasop 2023, ESC PARK BANGKOK,2023-12-02,2023-12-03,The Concert
Journey Fest | เจอกันนี่ เฟส เชียงใหม่, Journey Fest At The Consul's Garden,2023-12-02,2023-12-03,The Concert
"Yama 1st ASIA TOUR ""thanks for waiting""",The Portal Ballroom (Muang Thong Thani),2023-12-03,2023-12-03,TTM
Sound a Brit #6 ( Tribute night ) Part : The New Waves, DECOMMUNE,2023-12-03,2023-12-03,The Concert
FALL OUT BOY LIVE IN BANGKOK 2023,Thunder Dome,2023-12-06,2023-12-06,Ticketmelon
BEHEMOTH : FURY UPON THE EARTH 2023 (Executive club show),Mr.fox,2023-12-08,2023-12-08,Ticketmelon
